,export,import,trading_deficit
345,4970132453,5467290509,497158056
346,5589021184,4952034123,-636987061
347,5858517149,5687586976,-170930173
348,5156647982,5634385487,477737505
349,4759297307,5619981014,860683707
350,5774613169,5710161489,-64451680
351,5781762864,5712022895,-69739969
352,5355680930,6133136275,777455345
353,5973818770,5685046014,-288772756
354,5506927685,5789941379,283013694
355,5196173431,5887410169,691236738
356,5623882024,5832190848,208308824
357,4513664053,6004339387,1490675334
358,5442624486,5416730067,-25894419
359,6203393875,6285229378,81835503
360,5564898273,6083326364,518428091
361,5236857826,6144789157,907931331
362,5641846688,5585766131,-56080557
363,5312210774,5840761453,528550679
364,5044405366,5812840641,768435275
365,5357933278,5926127300,568194022
366,5148010964,5704206359,556195395
367,4983179710,5940220307,957040597
368,5298546922,5944295296,645748374
369,4798572969,6431690300,1633117331
370,5283269206,6056595376,773326170
371,6270249121,6627146258,356897137
372,5775769697,6653135490,877365793
373,5765204286,6756525758,991321472
374,6058610664,6239138183,180527519
375,5958497443,6990953628,1032456185
376,5782109839,6753518084,971408245
377,5970950368,6914199468,943249100
378,6102969356,7203395761,1100426405
379,5898811957,7199902106,1301090149
380,6109178044,7416344759,1307166715
381,5251917032,8047032407,2795115375
382,5799170057,6605298925,806128868
383,6383275508,7833411545,1450136037
384,6067182159,6892709161,825527002
385,5606008757,6523232141,917223384
386,5940015772,6774072891,834057119
387,6191917647,7158457838,966540191
388,5704817472,6658032030,953214558
389,6382087103,7344068242,961981139
390,6687313504,7429072288,741758784
391,6187518807,7086339814,898821007
392,6891804493,7557385451,665580958
393,6140891682,7301351693,1160460011
394,5940749046,6366783655,426034609
395,6926741388,6703279125,-223462263
396,6548769906,6607111017,58341111
397,5737870695,5953220724,215350029
398,6504696538,6565599276,60902738
399,6662871116,6924262173,261391057
400,5880185443,6447725756,567540313
401,6413303277,6534588011,121284734
402,6541289708,6436503596,-104786112
403,5978713942,6366212005,387498063
404,6337846121,6198898762,-138947359
405,5350536491,6007540986,657004495
406,5702255866,5466799066,-235456800
407,6456793157,5711906613,-744886544
