,CPI,Unemployment rate(25-44),Government_debt,Population in Japan,M2_Aver. Outstanding Balance YoY,USD_to_JPY
175,96.2,3.6,3412395.0,125890000.0,3.1,112.27
176,96.3,3.45,3436817.0,125939000.0,2.9,113.74
177,96.2,3.35,3427939.0,125747000.0,3.0,118.18
178,96.0,3.55,3461063.0,125912000.0,2.9,123.01
179,96.1,3.5,3551685.0,125860000.0,2.7,122.66
180,98.0,3.6,3660548.0,125942000.0,3.2,125.47
181,98.2,3.75,3634005.0,125960000.0,3.1,118.91
182,98.2,3.55,3625450.0,126013000.0,2.9,114.31
183,97.8,3.6,3620789.0,126057000.0,3.0,115.1
184,97.9,3.925,3605030.0,125972000.0,3.2,117.89
185,98.6,3.75,3626766.0,126062000.0,2.9,120.74
186,98.9,3.95,3649811.0,126157000.0,2.9,121.13
187,98.2,3.7,3674226.0,126191000.0,3.2,125.35
188,98.0,3.475,3685974.0,126258000.0,3.8,129.52
189,97.9,3.8,3697609.0,126096000.0,4.5,129.45
190,97.8,3.725,3830528.0,126305000.0,5.0,125.85
191,98.2,4.025,3947370.0,126207000.0,4.5,128.83
192,98.4,4.225,3996481.0,126271000.0,3.6,131.81
193,98.7,4.4,3992604.0,126293000.0,3.9,135.08
194,98.3,4.375,4001730.0,126362000.0,3.4,140.35
195,97.7,4.225,3980786.0,126400000.0,3.5,140.66
196,97.6,4.85,3990728.0,126307000.0,3.8,144.76
197,98.4,4.95,4011589.0,126398000.0,3.8,134.5
198,99.1,4.9,4185868.0,126472000.0,3.9,121.33
199,99.0,4.8,4212941.0,126505000.0,4.3,120.61
200,98.6,4.35,4269774.0,126568000.0,3.9,117.4
201,98.1,4.525,4271669.0,126432000.0,3.6,113.14
202,97.7,4.9,4285720.0,126566000.0,3.4,116.73
203,97.8,4.95,4375545.0,126473000.0,3.7,119.71
204,98.3,5.15,4544877.0,126535000.0,3.9,119.66
205,98.3,5.15,4545530.0,126473000.0,4.1,122.14
206,98.0,5.275,4606676.0,126618000.0,4.3,120.81
207,97.6,4.875,4618161.0,126631000.0,4.0,119.76
208,97.9,4.925,4622349.0,126531000.0,3.5,113.3
209,98.2,4.975,4656371.0,126611000.0,3.3,107.45
210,98.4,4.9,4681945.0,126667000.0,3.6,106.0
211,97.8,4.675,4739449.0,126735000.0,2.9,104.83
212,97.5,4.625,4777638.0,126772000.0,2.6,102.61
213,97.4,5.125,4828080.0,126746000.0,2.6,105.21
214,97.1,5.15,4857301.0,126794000.0,2.1,109.34
215,97.3,5.375,4929698.0,126714000.0,1.9,106.62
216,97.5,5.225,5020041.0,126758000.0,2.9,105.35
217,97.6,4.9,5057420.0,126737000.0,2.2,108.13
218,97.4,4.825,5023687.0,126826000.0,1.9,106.13
219,97.1,4.85,5107754.0,126843000.0,2.0,107.9
220,97.4,4.975,5088311.0,126770000.0,1.8,108.02
221,97.3,5.025,5110449.0,126837000.0,2.0,106.75
222,97.3,4.975,5130721.0,126925843.0,2.1,108.34
223,97.0,4.8,5217059.0,126998000.0,1.9,108.87
224,97.1,4.525,5220991.0,127027000.0,2.0,112.21
225,97.1,4.975,5280737.0,126912000.0,2.2,117.1
226,96.8,5.125,5328711.0,127050000.0,2.6,116.1
227,96.7,5.375,5383864.0,126980000.0,2.5,121.21
228,96.8,5.625,5478899.0,127052000.0,2.3,123.77
229,96.9,5.475,5551480.0,127011000.0,2.6,121.83
230,96.7,5.45,5571861.0,127125000.0,2.9,122.19
231,96.4,5.375,5618939.0,127149000.0,3.0,124.63
232,96.7,5.25,5646849.0,127069000.0,2.9,121.53
233,96.6,5.525,5655553.0,127131000.0,3.2,118.91
234,96.6,5.45,5683377.0,127316000.0,2.9,121.32
235,96.1,5.525,5761532.0,127396000.0,3.0,122.33
236,96.0,5.425,5824556.0,127397000.0,3.3,127.32
237,95.8,5.525,5883027.0,127261000.0,3.5,132.66
238,95.3,5.8,6002803.0,127343000.0,3.5,133.53
239,95.5,6.05,6073122.0,127272000.0,3.7,131.15
240,95.8,5.9,6191690.0,127371000.0,3.5,131.01
241,96.1,6.05,6257113.0,127350000.0,3.5,126.39
242,96.0,6.1,6273900.0,127418000.0,3.4,123.44
